epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6738.36,0.89456,0.84476,1.19798,0.83134,0.84256,0.8789,0.70061,0.86704,0.70764,1.14589,0.005842,0.005842,0.005842
44,6898.07,0.89647,0.84246,1.20022,0.83471,0.83922,0.87948,0.70608,0.86428,0.68969,1.15477,0.005743,0.005743,0.005743
45,7057.14,0.90463,0.84237,1.2001,0.82648,0.83266,0.87594,0.70268,0.86967,0.72031,1.15136,0.005644,0.005644,0.005644
46,7214.6,0.8906,0.82976,1.19559,0.82263,0.84962,0.8804,0.70637,0.86703,0.69397,1.15541,0.005545,0.005545,0.005545
47,7368.63,0.88663,0.83408,1.19339,0.82717,0.84131,0.87832,0.70398,0.86267,0.70304,1.14737,0.005446,0.005446,0.005446
48,7528.43,0.88644,0.81586,1.19443,0.82631,0.8391,0.87836,0.70709,0.86166,0.69523,1.14552,0.005347,0.005347,0.005347
49,7682.96,0.87454,0.81813,1.18838,0.84725,0.83308,0.87971,0.70988,0.85836,0.68183,1.14628,0.005248,0.005248,0.005248
50,7838.9,0.87078,0.799,1.18781,0.84019,0.82994,0.88114,0.71305,0.85193,0.69042,1.14095,0.005149,0.005149,0.005149
51,7995.63,0.87611,0.80262,1.18721,0.8352,0.83231,0.87623,0.71075,0.85216,0.69364,1.13755,0.00505,0.00505,0.00505
52,8147.68,0.8683,0.7916,1.18259,0.8402,0.83046,0.87927,0.71077,0.85397,0.67883,1.14256,0.004951,0.004951,0.004951
53,8301.01,0.86765,0.79459,1.17845,0.83119,0.84983,0.88519,0.71693,0.84706,0.67074,1.13562,0.004852,0.004852,0.004852
