epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6598.02,0.97146,0.8969,1.23085,0.79619,0.79564,0.83952,0.65355,0.89595,0.77394,1.17138,0.005842,0.005842,0.005842
44,6750.16,0.9606,0.89069,1.2321,0.81933,0.80287,0.85532,0.67013,0.87877,0.71877,1.15772,0.005743,0.005743,0.005743
45,6900.26,0.97274,0.89602,1.23594,0.80591,0.80327,0.85617,0.67039,0.89261,0.71989,1.17039,0.005644,0.005644,0.005644
46,7051.28,0.96565,0.87806,1.22846,0.80628,0.81603,0.85367,0.66899,0.88906,0.73572,1.16542,0.005545,0.005545,0.005545
47,7202.02,0.97869,0.87764,1.23009,0.80553,0.82141,0.85861,0.66943,0.88546,0.70901,1.16304,0.005446,0.005446,0.005446
48,7352.78,0.96271,0.8808,1.22603,0.80904,0.80206,0.84886,0.66421,0.89391,0.74041,1.16357,0.005347,0.005347,0.005347
49,7500.5,0.95812,0.85996,1.21991,0.80288,0.82434,0.85921,0.67671,0.87429,0.70037,1.14811,0.005248,0.005248,0.005248
50,7651.75,0.95761,0.85465,1.21909,0.82247,0.82154,0.86411,0.68196,0.87611,0.69399,1.15235,0.005149,0.005149,0.005149
51,7801.02,0.95787,0.85971,1.22471,0.8129,0.81724,0.8566,0.67509,0.87756,0.72197,1.15488,0.00505,0.00505,0.00505
52,7952.02,0.94801,0.84483,1.21936,0.81297,0.82659,0.86621,0.68122,0.87279,0.6871,1.14938,0.004951,0.004951,0.004951
53,8102.34,0.94363,0.83762,1.21893,0.81105,0.81801,0.85776,0.67619,0.87525,0.70466,1.15258,0.004852,0.004852,0.004852
54,8253.28,0.95689,0.84606,1.22356,0.82211,0.8147,0.86506,0.68329,0.86382,0.68622,1.14715,0.004753,0.004753,0.004753
55,8402.05,0.9334,0.81878,1.20673,0.82499,0.81365,0.86312,0.68138,0.86769,0.68239,1.14631,0.004654,0.004654,0.004654
56,8553.88,0.9409,0.82675,1.21243,0.82541,0.81627,0.86197,0.68014,0.87527,0.68483,1.14719,0.004555,0.004555,0.004555
57,8702.91,0.94009,0.81725,1.2089,0.82037,0.81715,0.8591,0.68146,0.8672,0.69078,1.14288,0.004456,0.004456,0.004456
58,8852.1,0.91728,0.80078,1.20017,0.82259,0.81904,0.86128,0.6831,0.86387,0.68237,1.13964,0.004357,0.004357,0.004357
59,9000.72,0.93301,0.80097,1.20584,0.8178,0.82945,0.86668,0.68809,0.86079,0.66816,1.13957,0.004258,0.004258,0.004258
60,9149,0.92692,0.79434,1.20144,0.82239,0.83427,0.86601,0.68662,0.86367,0.67516,1.14144,0.004159,0.004159,0.004159
61,9299.64,0.92091,0.7942,1.19952,0.83649,0.82088,0.86649,0.69008,0.85801,0.66427,1.13288,0.00406,0.00406,0.00406
62,9451.25,0.91956,0.79775,1.20174,0.8314,0.82347,0.86611,0.69035,0.86199,0.66495,1.14039,0.003961,0.003961,0.003961
63,9603.22,0.91789,0.79195,1.20051,0.83883,0.81936,0.86852,0.69094,0.86139,0.65644,1.13967,0.003862,0.003862,0.003862
64,9754.29,0.91139,0.77857,1.1915,0.83237,0.82991,0.86992,0.69397,0.85916,0.65739,1.13678,0.003763,0.003763,0.003763
65,9903.78,0.91539,0.77694,1.19387,0.8413,0.81666,0.86784,0.69134,0.85703,0.66495,1.1346,0.003664,0.003664,0.003664
66,10054.2,0.90383,0.77355,1.18804,0.84426,0.82315,0.87076,0.69605,0.85644,0.65311,1.13307,0.003565,0.003565,0.003565
67,10207,0.91107,0.76535,1.18783,0.83185,0.83004,0.87021,0.6947,0.85888,0.65329,1.13463,0.003466,0.003466,0.003466
68,10357,0.90316,0.75883,1.18687,0.83647,0.82735,0.87165,0.69539,0.861,0.65258,1.13534,0.003367,0.003367,0.003367
69,10507.9,0.89565,0.76194,1.18465,0.84355,0.82336,0.87194,0.69439,0.86357,0.64913,1.13585,0.003268,0.003268,0.003268
70,10656.6,0.89494,0.7511,1.18431,0.85088,0.81335,0.87234,0.69636,0.85878,0.64704,1.13346,0.003169,0.003169,0.003169
71,10807.4,0.89187,0.74303,1.18124,0.8353,0.83387,0.87328,0.69755,0.85707,0.64624,1.13168,0.00307,0.00307,0.00307
72,10956.3,0.89194,0.74789,1.17744,0.83817,0.83414,0.8731,0.69757,0.85579,0.64177,1.13073,0.002971,0.002971,0.002971
73,11106.7,0.87628,0.72872,1.1751,0.8436,0.82598,0.87249,0.69756,0.85502,0.64342,1.13059,0.002872,0.002872,0.002872
74,11256.8,0.88451,0.7325,1.17341,0.84916,0.82076,0.87151,0.69765,0.85312,0.6395,1.13042,0.002773,0.002773,0.002773
75,11405.6,0.88812,0.72816,1.1753,0.85158,0.81782,0.87275,0.69833,0.8536,0.63992,1.1315,0.002674,0.002674,0.002674
76,11557.4,0.8777,0.72436,1.17219,0.84682,0.81645,0.87134,0.69675,0.85294,0.64483,1.1304,0.002575,0.002575,0.002575
77,11709.4,0.87747,0.71857,1.17134,0.84691,0.81713,0.87105,0.69749,0.85032,0.64554,1.12973,0.002476,0.002476,0.002476
78,11858.1,0.87266,0.71959,1.171,0.83659,0.82466,0.87172,0.69791,0.84908,0.64334,1.12837,0.002377,0.002377,0.002377
79,12007.7,0.86177,0.70366,1.16655,0.83857,0.8273,0.87214,0.69862,0.84778,0.64206,1.12719,0.002278,0.002278,0.002278
80,12156.7,0.86886,0.70314,1.16585,0.8279,0.83481,0.87306,0.7001,0.84611,0.64003,1.12656,0.002179,0.002179,0.002179
81,12307,0.86982,0.70969,1.1646,0.83837,0.82874,0.87306,0.70033,0.8449,0.63741,1.12495,0.00208,0.00208,0.00208
82,12457.2,0.85493,0.69435,1.16227,0.84751,0.82464,0.87339,0.70126,0.84381,0.63519,1.12405,0.001981,0.001981,0.001981
83,12606.6,0.864,0.70319,1.16346,0.8479,0.82427,0.87411,0.70211,0.84386,0.63245,1.12446,0.001882,0.001882,0.001882
84,12756.7,0.85793,0.6951,1.16033,0.85005,0.82262,0.87365,0.70235,0.84197,0.63166,1.12325,0.001783,0.001783,0.001783
85,12907.6,0.85011,0.68562,1.15416,0.84976,0.82512,0.8745,0.70302,0.84088,0.62943,1.12306,0.001684,0.001684,0.001684
86,13055.6,0.84438,0.6804,1.15307,0.85219,0.82659,0.8746,0.70312,0.83927,0.62827,1.12243,0.001585,0.001585,0.001585
87,13204.8,0.86088,0.6854,1.16083,0.84739,0.82967,0.87482,0.70346,0.83888,0.62732,1.12173,0.001486,0.001486,0.001486
88,13352.6,0.84257,0.67525,1.15005,0.84211,0.83441,0.87491,0.70349,0.83864,0.62572,1.12159,0.001387,0.001387,0.001387
