epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9321.61,0.93084,0.89849,1.24034,0.79254,0.82307,0.85382,0.66433,0.89152,0.70712,1.17471,0.0001752,0.0001752,0.0001752
43,9541.45,0.92044,0.88731,1.23588,0.80462,0.8167,0.85528,0.67044,0.88391,0.69397,1.1735,0.000169302,0.000169302,0.000169302
44,9759.04,0.92116,0.87637,1.23419,0.7923,0.81732,0.85049,0.66509,0.88312,0.70437,1.17249,0.000163404,0.000163404,0.000163404
45,9976.48,0.92483,0.87569,1.23472,0.79905,0.8209,0.85718,0.67166,0.88367,0.69118,1.16882,0.000157507,0.000157507,0.000157507
46,10195.4,0.91146,0.8672,1.22811,0.79575,0.81747,0.85286,0.66972,0.87787,0.69658,1.16569,0.000151609,0.000151609,0.000151609
47,10412.9,0.91092,0.86412,1.22878,0.79437,0.80812,0.84732,0.66442,0.88389,0.69582,1.17004,0.000145712,0.000145712,0.000145712
48,10632.5,0.90099,0.85572,1.22276,0.80367,0.81096,0.85363,0.66782,0.87865,0.69414,1.16235,0.000139814,0.000139814,0.000139814
49,10851.2,0.90234,0.84572,1.22091,0.80553,0.80291,0.85562,0.67369,0.86917,0.68311,1.15683,0.000133917,0.000133917,0.000133917
50,11068.2,0.90376,0.84446,1.22038,0.80412,0.80388,0.85717,0.67461,0.87068,0.68638,1.1602,0.000128019,0.000128019,0.000128019
51,11290,0.90002,0.83593,1.22253,0.80437,0.80997,0.85824,0.67441,0.868,0.68244,1.15739,0.000122121,0.000122121,0.000122121
52,11510.1,0.89155,0.82641,1.21407,0.80337,0.82073,0.85745,0.67477,0.86639,0.67685,1.15537,0.000116224,0.000116224,0.000116224
53,11728.6,0.90059,0.82414,1.21471,0.80238,0.82127,0.85941,0.6762,0.86411,0.66659,1.15359,0.000110326,0.000110326,0.000110326
54,11951,0.89892,0.81261,1.2193,0.80532,0.82776,0.85973,0.67944,0.8657,0.66826,1.15611,0.000104429,0.000104429,0.000104429
55,12174,0.88741,0.80403,1.20912,0.8108,0.8229,0.86368,0.68217,0.86056,0.66,1.15218,9.85311e-05,9.85311e-05,9.85311e-05
56,12398.4,0.87703,0.80469,1.21046,0.80124,0.81611,0.861,0.6805,0.86106,0.66592,1.15501,9.26336e-05,9.26336e-05,9.26336e-05
57,12621,0.87612,0.8015,1.20642,0.81221,0.81968,0.86184,0.6815,0.86255,0.66345,1.15617,8.6736e-05,8.6736e-05,8.6736e-05
58,12844,0.87904,0.78814,1.20326,0.81611,0.82134,0.86636,0.68271,0.8637,0.6512,1.15421,8.08384e-05,8.08384e-05,8.08384e-05
59,13067.4,0.86971,0.79035,1.20271,0.8187,0.81821,0.86358,0.68291,0.86025,0.65671,1.15359,7.49409e-05,7.49409e-05,7.49409e-05
60,151.567,0.86538,0.73198,1.17548,0.83011,0.82164,0.87283,0.69583,0.85422,0.66032,1.13792,6.90433e-05,6.90433e-05,6.90433e-05
61,297.715,0.87415,0.65245,1.19186,0.8203,0.83265,0.87075,0.69073,0.85651,0.65075,1.1352,6.31457e-05,6.31457e-05,6.31457e-05
62,439.043,0.86021,0.63397,1.17496,0.8409,0.8189,0.87364,0.69523,0.85274,0.64897,1.1339,5.72481e-05,5.72481e-05,5.72481e-05
63,580.889,0.85542,0.62171,1.16907,0.83618,0.82913,0.87414,0.69386,0.85213,0.64728,1.13377,5.13506e-05,5.13506e-05,5.13506e-05
64,722.63,0.85034,0.61634,1.16495,0.84371,0.82862,0.87628,0.69585,0.84771,0.64233,1.13151,4.5453e-05,4.5453e-05,4.5453e-05
65,864.759,0.84364,0.60493,1.15882,0.84326,0.82642,0.87774,0.69872,0.84498,0.63611,1.13106,3.95554e-05,3.95554e-05,3.95554e-05
66,1005.89,0.83324,0.5973,1.15388,0.84906,0.83083,0.87901,0.69904,0.84493,0.63501,1.13224,3.36579e-05,3.36579e-05,3.36579e-05
67,1146.57,0.82922,0.5913,1.15177,0.84786,0.82916,0.87731,0.69894,0.8433,0.63596,1.12786,2.77603e-05,2.77603e-05,2.77603e-05
68,1287.06,0.82683,0.58952,1.1481,0.8481,0.8338,0.87845,0.70031,0.84149,0.63342,1.12567,2.18627e-05,2.18627e-05,2.18627e-05
69,1427.23,0.81914,0.58034,1.14612,0.84974,0.83087,0.87803,0.70045,0.84104,0.63216,1.12573,1.59651e-05,1.59651e-05,1.59651e-05
70,1567.65,0.81873,0.58503,1.14422,0.84695,0.83616,0.87748,0.70115,0.84013,0.63103,1.12553,1.00676e-05,1.00676e-05,1.00676e-05
